1;45;"vip";3;125000
2;17;"campo";8;85000
3;98;"platea";5;64000
4;302;"vip";9;175000
5;12;"campo";1;92000
6;65;"platea";7;55000
7;211;"vip";10;145000
8;5;"campo";2;83000
9;412;"platea";6;72000
10;86;"vip";4;150000
11;203;"campo";3;99000
12;17;"platea";8;78000
13;334;"vip";5;172000
14;44;"campo";9;87000
15;29;"platea";1;60000
16;71;"vip";7;155000
17;62;"campo";10;94000
18;503;"platea";2;68000
19;91;"vip";6;160000
20;450;"campo";4;89000
21;311;"platea";3;72000
22;4;"vip";5;148000
23;77;"campo";7;97000
24;29;"platea";8;66000
25;12;"vip";9;180000
26;203;"campo";10;88000
27;76;"platea";1;63000
28;104;"vip";2;170000
29;9;"campo";3;94000
30;411;"platea";4;69000
31;51;"vip";5;132000
32;64;"campo";6;87000
33;105;"platea";7;61000
34;212;"vip";8;158000
35;401;"campo";9;95000
36;19;"platea";10;57000
37;310;"vip";1;165000
38;503;"campo";2;86000
39;44;"platea";3;64000
40;28;"vip";4;145000
41;106;"campo";5;91000
42;233;"platea";6;71000
43;12;"vip";7;138000
44;54;"campo";8;93000
45;68;"platea";9;65000
46;303;"vip";10;178000
47;97;"campo";1;94000
48;20;"platea";2;70000
49;211;"vip";3;159000
50;8;"campo";4;86000
51;307;"platea";5;58000
52;10;"vip";6;124000
53;92;"campo";7;90000
54;24;"platea";8;72000
55;414;"vip";9;174000
56;78;"campo";10;98000
57;19;"platea";1;75000
58;401;"vip";2;163000
59;56;"campo";3;89000
60;17;"platea";4;64000
61;68;"vip";5;147000
62;34;"campo";6;91000
63;107;"platea";7;70000
64;501;"vip";8;168000
65;415;"campo";9;95000
66;18;"platea";10;69000
67;210;"vip";1;154000
68;67;"campo";2;97000
69;11;"platea";3;62000
70;407;"vip";4;182000
